Package Name	Compromised Version(s)	Detection Date	Status
react-complaint-image	0.0.35	2025-09-16	Removed from NPM
encounter-playground	0.0.5	2025-09-16	Removed from NPM
rxnt-authentication	0.0.6	2025-09-16	Removed from NPM
@nativescript-community/ui-drawer	0.1.30	2025-09-16	Removed from NPM
json-rules-engine-simplified	0.2.1	2025-09-16	Removed from NPM
react-jsonschema-form-extras	0.3.21	2025-09-16	Removed from NPM
rxnt-healthchecks-nestjs	1.0.4	2025-09-16	Removed from NPM
rxnt-kue	1.0.5	2025-09-16	Removed from NPM
swc-plugin-component-annotate	1.6.13	2025-09-16	Removed from NPM
ngx-color	1.9.2	2025-09-16	Removed from NPM
angulartics2	10.0.2	2025-09-16	Removed from NPM
@ctrl/react-adsense	19.0.2	2025-09-16	Removed from NPM
ts-gaussian	2.0.35	2025-09-16	Removed from NPM
@ctrl/ngx-rightclick	3.0.6	2025-09-16	Removed from NPM
@ctrl/ts-base32	4.0.2	2025-09-16	Removed from NPM
@ctrl/magnet-link	4.0.2	2025-09-16	Version Fixed
@ctrl/tinycolor	4.0.4	2025-09-16	Version Fixed
@ctrl/torrent-file	4.1.1	2025-09-16	Removed from NPM
@nativescript-community/sentry	4.1.2	2025-09-16	Removed from NPM
koa2-swagger-ui	4.5.6	2025-09-16	Removed from NPM
@ctrl/ngx-csv	4.6.43	2025-09-16	Removed from NPM
@nativescript-community/ui-collectionview	5.11.1	2025-09-16	Removed from NPM
@ctrl/shared-torrent	5.11.2	2025-09-16	Removed from NPM
@ctrl/ngx-codemirror	6.0.2	2025-09-16	Removed from NPM
@ctrl/deluge	6.0.6	2025-09-16	Removed from NPM
@nativescript-community/ui-material-bottomsheet	6.3.2	2025-09-16	Removed from NPM
@nativescript-community/ui-material-core-tabs	7.2.2	2025-09-16	Removed from NPM
@ctrl/transmission	7.2.72	2025-09-16	Removed from NPM
ngx-trend	7.2.76	2025-09-16	Removed from NPM
@ctrl/ngx-emoji-mart	7.2.76	2025-09-16	Removed from NPM
@ctrl/qbittorrent	7.3.1	2025-09-16	Removed from NPM
@ahmedhfarag/ngx-perfect-scrollbar	8.0.1, 20.0.20	2025-09-16	⚠️ Active
@ahmedhfarag/ngx-virtual-scroller	4.0.4, 9.2.2	2025-09-16	⚠️ Active
@art-ws/common	9.7.2	2025-09-16	Removed from NPM
@art-ws/config-eslint	2.0.4, 2.0.5	2025-09-16	Removed from NPM
@art-ws/config-ts	2.0.7, 2.0.8	2025-09-16	Removed from NPM
@art-ws/db-context	2.0.24	2025-09-16	Removed from NPM
@art-ws/di	2.0.28, 2.0.32	2025-09-16	Removed from NPM
@art-ws/di-node	2.0.13	2025-09-16	Removed from NPM
@art-ws/eslint	1.0.5, 1.0.6	2025-09-16	Removed from NPM
@art-ws/fastify-http-server	2.0.24, 2.0.27	2025-09-16	Removed from NPM
@art-ws/http-server	2.0.21, 2.0.25	2025-09-16	Removed from NPM
@art-ws/openapi	0.1.9, 0.1.12	2025-09-16	Removed from NPM
@art-ws/package-base	1.0.5, 1.0.6	2025-09-16	Removed from NPM
@art-ws/prettier	1.0.5, 1.0.6	2025-09-16	Removed from NPM
@art-ws/slf	2.0.15, 2.0.22	2025-09-16	Removed from NPM
@art-ws/ssl-info	1.0.9, 1.0.10	2025-09-16	Removed from NPM
@art-ws/web-app	1.0.3, 1.0.4	2025-09-16	Removed from NPM
@crowdstrike/commitlint	8.1.1, 8.1.2	2025-09-16	Removed from NPM
@crowdstrike/falcon-shoelace	0.4.1, 0.4.2	2025-09-16	Removed from NPM
@crowdstrike/foundry-js	0.19.1, 0.19.2	2025-09-16	Removed from NPM
@crowdstrike/glide-core	0.34.2, 0.34.3	2025-09-16	Removed from NPM
@crowdstrike/logscale-dashboard	1.205.1, 1.205.2	2025-09-16	Removed from NPM
@crowdstrike/logscale-file-editor	1.205.1, 1.205.2	2025-09-16	Removed from NPM
